,,before,sentence,after,final
171,3572,"* So prepare yourself for ""Gajwa-e-Hind"".",Awaken your Hindu brothers and sisters as much as possible *,,action
172,3573,Kafirs are murdered by spreading terror.,"In this way, like Muslims, we are getting the property of Hindus and women from Allah’s Fazal.",Insha Allah will soon bring the whole of India under the flag of Islam.,none
173,3574,"Not only this, none of today's historians wrote about the atrocities committed by these Sultans and the numerous rapes.","Rather, the writers living with these Sultans themselves walked their pens with great pride and proudly detailed their masters to teach lessons to the Kafirs.","By clicking on some links of Google, you will get to know in detail about the ""heart-wrenching"" atrocities on Hindus and Hindu women.",none
174,3575,"But there are still some measures which the Hindu community will follow, then the country will be saved.",Any community needs a fertilization rate of 2.1 to maintain its existence.,"That is, every non-Muslim couple will have to produce 3 children if the balance of the population is to be equal to the Muslims.",action
175,3576,,"This 🗣  is an article for all those who speak Allah God, see the difference between Allah and 🕉  God: - God says have mercy on the creatures ☪  And then eat.",Lord says that worship me only when your mind is calm 🕉  and your mind pure.,none
176,3577,(20) South 24 Parganas -: IIT student Kaushik Purohit in Bengal was killed by a mob of Muslims on 11 May 2016 after accusing him of stealing buffalo buffalo.,(21) Bijapur -: A Muslim woman named Banu Begum of Karnataka falls in love with a Hindu boy named Sybanna Sharanpa Konnur and the two run away and get married in a Goa court.,"In June 2017, Muslim goons broke into a Hindu boy's family.",none
177,3578,"Their Hadith and their Qur'an are all that matters to them, who begin to show them the path of Paradise on the death of every Kafir.","We will have to burn every book that incites them to this orgy of death and if we want to stop the orgy of death, then we will have to play this bloody game too.",Now no angel will come to save.,action
178,3579,"""If anyone has committed kufr after taking Islam, if he accepts his religion back then torture him heavily.","Sura un Nahal-16: 106 15 - Torture him who does not respect Muhammad"" Who is the Messenger of Allah Do not obey, do not respect him, torture him outrageously.",Surah Al Ahzab - 33: 57 16 - Muslims are the purchased killers of Allah.,oppression
179,3580,Those behaviors are built upon certain theoretical beliefs.,One of them is to conquer Islam; Others have to be erased.,"Every path in between is 'devil's devise', he is never accepted by them.",oppression
180,3581,* Administrator 🚩  ✊  Committee * * 👺 👺   🤔  😈  Tantric Jihad * * * Are the women or men of your family not falling prey 🚈  to Tantric Jihad?,"* * Whenever you sit in a bus or train, you get some pamphlets there.",Those who have been found will be written on it.,none
181,3582,"One way they have been working with this is that it has been said that Muslim property dealers who have been told that when you set up a colony, then your profit from that is 10, 20, 50 lakhs.","Do not give that direct profit, we will give you houses for Muslim families only, get the land at a cheaper rate, give the land of 5 marbles only for 5 lakhs, the rest of the profit will come directly to your account in this way from last 10 years Continued now Muslim property dealers as well as Hindu property dealers are also in the grip of those who are carrying on this work.","2) At present there are three big flats inside Jammu which are Royal Palms Flat Shaktinagar, Kamadhenu Flat Shivnagar and one Flat building is also in Bodi, inside these flats, more than 70% Kashmiri Muslims have bought those flats private.",culture
182,3583,There are more than 57 Lok Sabha constituencies where the population of Muslims is more than 30 percent ... while there are more than 74 seats where Muslim voters are between 20 and 97 percent ...,In total there are about 220 Lok Sabha constituencies Where the vote share of Muslims is more than 10 percent.,"If such an equation were in favor of any other community of the country, it would not take the name of descending from power ...",none
183,3584,"In fact, there are a large number of Muslims who believe in this, but they are not allowed to come forward.",It is also necessary to declare them open exemption from Islam.,"This dictatorship will have to be bluntly rejected that anyone can come to Islam, cannot get out of it.",action
184,3585,Akbar had more than 300 wives and more than 5000 concubines.,"Jahangir, Shah Jahan, all the girls enslaved in the harem were counted in thousands.","Some had to be raped, whose father and brothers had to be killed, they never had anything to do with all this!",oppression
185,3586,", But she used to go to the king's harem, who was a coward.",They were made.,"After all, the blood of dirty sins will remain dirty.",none
186,3587,"Then Jinnah was initially in the Congress, later how did the seeds of Pakistan sprout in him?",There is only one answer to this and that is Islam which divides man into Muslim and non-Muslim and non-Muslims have to either accept Islam or give jizya to live and ever live a hellish life.,"But also have to be prepared for killing your dignity and life _ because ... _ _ Islam's brotherhood is only brotherhood among Muslims, not universal brotherhood.",oppression
187,3588,"Salim defeated his son, got his eyes out and threw him in jail.","How much love did Abbu have, not Salim?","The result of this Mughal-e-Azam is that many generations of India have grown up considering the Mughals to be secular, liberal, generous, good rulers.",none
188,3589,There is no dearth of Jayachandas here.,Remember the prayers offered to Muslims by Kamal Nath at the time of Madhya Pradesh elections?,"If there is any persecution of Muslims by any non-Muslim anywhere in the world, then Muslims from all over the world stand up!",none
189,3590,"Invokes *, they should not be surprised when someone answers them in their own language and ways. ""","Instead of verifying this statement of MP Fraser Anning, the Liberal media of Australia and New Zealand is currently engaged in criticizing, condemning, condemning them as the secular media of India usually does with such rude, blunt and truthful statements.","Friends, do you know who Muslims are with in elections ?????",culture
190,3591,"If you symbolize as one, then jihadi will never dare 🏻  🤝  to attack you.",* Humla is never on the organized people.,Organized 🏻  🙏  🚩  🦁  🦁  Hindus are the future of the country.,none
191,3592,"I decided to offer you my resignation as your minister, 🇳 🏹 🕉  🐚   🔱   🇮  🚩  🙏  which I am holding in your hands.",I hope you accept it without any delay  Will You are of course free to give this post to anyone keeping in mind the purpose of the Islamic State.,”Jogendra Nath Mandal came to India after resigning from the Cabinet in Pakistan.,none
192,3593,But what I saw in Bihar was even more new and what I saw in Punjab was even more.,Man is no more a human being.,The women jumped in the wells to save the children with respect.,none
193,3594,🌀 👉   🌀7👉 Hindus are secular.,Show me one Mulla Secular out of 200 crores!,The number of Hindus today is fast decreasing.,none
194,3595,"Please, read and share everyone in your contact so that someone's sister-daughter does not fall prey to such a conspiracy!","At home, friends, do not be shy to discuss, our so-called shameless family will be able to save the precious life of a family's respect and sister-daughter.",Let us fulfill our moral obligation.,action
195,3596,Isn't it also worth considering what purpose the Congress left those terrorists for?,And it is clear from this incident that the Congress had some connection with those terrorists.,"21: Security agencies have warned many times about Bangladeshi Muslim infiltrators in the country that they have links with terrorist organizations and are a threat to national security, but still the 🙏  Congress is eager to keep them in India and 40 lakhs by NRC In the 🇳  🇮  name of marking Bangladeshi infiltrators, Congress is aggressive and does not want to allow them to be deported from India, apart from Rohingya infiltrators who have come to India in Mayanmar by committing gruesome orgy of violence, Congress also to shelter 🇳  🇮  🙏  them in India It is eager, that is, the Congress wants to endanger the safety of Hindus, the original inhabitants of India, and is yet another preparation for the massacre of innocent civilians.",none
196,3597,●) who according to the Quran gives respect to whomever he wishes.,"Brother, if we reduce the amount of disrespect.",●) One who can never see his devotee no matter how much the devotee does penance.,none
197,3598,I can only thank that soul!,# * Unimaginable ... * * Terrible threat.,* * Read patiently immediately.,none
198,3599,"Therefore, the Army is also in Kashmir and AFSPA law is only on paper.","On small matters, the Kashmiri police appeals to the separatists by registering an FIR against Arsena / Army.",The rights given to the army under AFSPA are only on paper.,none
199,3600,* * • To consider the earth as flat.,* * • To believe the invisible sky seven.,And to believe that the skins of the sky can also be wrapped.,none
200,3601,* There could have been a fight if the law had been equal for all .. * The police would not have taken the Hindu boys to bear arms… 👉  If the Hindus had weapons too… or the police would have confiscated the weapons of the Muslims too.,"But the government was with the Muslims, it was with the jihad..The 👉  organization of the terrorists was also with them 👉  ..","In this way, the Kashmiri * Hindus * fell alone ... and were abolished * The government bowed to one side.",culture
1,3602,There is only one feeling in his talk on social media.,"It is that India has taken possession of their land, we are an occupying army and are oppressing them.",There is another aspect to this and that is that they have no feelings or feelings about what happened to the Pandits in 1990.,oppression
2,3603,Did not come or will ever come.,"* * India and Saudi Arabia may still have good relations, but a war is certain in the future, because we all know that there is a war of Christianity versus Islam at the moment.","* * Right now the Christian country is heavy but the victory of the Muslims in this war is confirmed, the reason is that the Christians are more secular.",none
3,3604,"And he refused to accept Islam, then kill him.",Heretics never become a friend of Muslims nor helpers 20) (Sura 9 At-Tauba: verse 14) - Fight them (heretics).,Allah will torture and humiliate them with your hands and he will help you against them.,action
4,3605,....... And the breast of Mother India will be sieve like that.,"** Education by incident: - The incident only teaches that if you make a gimmick of secularism, then the situation will be the same as Sarvanand Kaul …… There is no religious decree to give special concession to seculars.","............. the sooner it is understood, the better.",none
5,3606,"In the case of Baba Sacha Dera Sauda, ​​no one was killed by the pellet nor were they stone-pelted, they became furious after the obstacle was arrested and 24 people were shot dead by the Haryana police, all of them were Hindus, someone The Hindu said that we will take revenge, we will explode as bombs, now listen to the bitter truth, look in the mirror in your true position, where you live, you increase your population greatly, do not believe in any law, when the police of that country gets it done So you raise your tail and start shouting Zulum Zulum, then the new generation is born, you poison the jihad in your mind, your only goal is to Islamize the whole world, take the tonic of Zulum and demand freedom once you are majority.","Ho, Pakistan Bangladesh is the result of all this thinking of you, a Muslim of Saudi Arabia considers you a dog, but you pressurize India for any scandal in Middle East, why do you hate America?","He killed Syria, you brother-in-law are not killing you?",culture
6,3607,There is a conscience in it.,"Whatever will be the objection of one Muslim, the same will be for the other Muslim.",And this objection will not be on any one day.,culture
7,3608,"Amrita Arora is married to a"" Muslim ""... named"" Shakeel Ladak "".","Salman Khan's brother - wife of"" Arbaaz Khan ""-"" Malaika Arora ""is Hindu !!!","More His younger brother - wife of ""Suhail Khan"" - ""Seema Sachdev"" is also a Hindu.",none
8,3609,* * Here again the land jihad starts.,After some time the papers of that pir go to 🌏 👺   the wak board.,The Wakka Board goes to a court.,none
9,3610,,"Of course, Muslims have become a burden on the country, today the Muslim population in the country is about 18% to 20% and it is growing very fast, due to their Islamic outlook and a dozen children.","👇  👇  👇  👇  👇  They are admitted in the private hospital only at 4%, in the government hospital / dispensary where free facilities are provided, there is about 45% Muslim patients, Muslims lie down immediately for taking blood of the non-residents but when it comes to giving it to someone They give back by giving blood.",culture
10,3611,* Otherwise we would have had the Quran in our hands instead of the Bhagavad Gita.,And you will be surprised to know that the President of Pakistan who prevented India from joining the clans of Islamic countries was Yehia Khan.,"Due to this fear, the Islamic countries had only one option to either include India or Pakistan.",none
11,3612,But the conspiracy is very deep.,"Because the Muslims know that the revenge of the trains which came from Pakistan at the time of Partition was filled with Hindu corpses, the first Jat Panchayats of Haryana had taken their corpses to Pakistan with double blood of Muslims.","For this reason, with the aim of making the Jats secular and Muslim, and to reduce their participation in the Indian Army, Muslim institutions are making frantic efforts to infiltrate Islam in Haryana by constructing mausoleums, ✒  mausoleums and putting the ghee in this fire, the Unionist Mission , Doing Bamsaif mission etc.",oppression
12,3613,Imagine a day when each of the 543 constituencies have ~ 40% Muslims ??,"(They are anyway close to 20% in India now, so it's just a matter of few decades considering their population growth rate).",BJP or for that matter any Hindu candidate hasn't won from any seat in India where Muslim population is 50% or more.,oppression
13,3614,So the matter is over here .. What is left after that?,... then what goodness and love?,"Such stupid posts of you people are secular and ignorant Hindus are inadvertent and under the guise of that 'one', the other jihadis have been entering into you and successfully doing the work of eradicating you ..",none
14,3615,How will girls study?,"No one is worried, no one is going to take care.","Yes, if the young man killed in the incident had been a Muslim, the secular media would have made this issue a matter of national debate, in the last one year at least 20 people have died at the hands of the criminals who got cheated.",action
15,3616,"Those whose faith is outside India, what they will do for India, I do not say that, by saying that the illustrious Swami Vivekananda and Veer Savarkar Have gone That's why I talk about Hindu.",* Awakened and strong Hindu is now standing in Pokaran * And he is not going to mislead you in the cloak of community unity.,"If you can gather to take votes in the name of Islam, then we can become a rock as a Hindu.",culture
16,3617,"* _ (Read further) 👇  👇  👇 👇 I said, * ""Modi said Vasudhaiva.",He did well with the spirit of Kuntumbakam and the spirit of Sabka Saath Sabka Vikas.,"""* He said, _ * Modi is the killer of ~ Muslims.",none
17,3618,"Later, Mohammad Gauri's soldiers took Prithviraj captive and killed him!",They dragged Prithviraj's body to Afghanistan and buried him!,"Whatever Muslim used to go to Chauhan's grave .... Every Muslim who used to go to Chauhan's grave, according to the custom, kills his grave with a shoe placed there.",oppression
18,3619,"And, when that Qazi proposed marriage to both the princesses, Bella said - ""Kazi sahib!""","It would be our luck to be in your lap, but we have two conditions!","""Qazi:"" Say .. Say .. what are your conditions!",none
19,3620,"* But the mullahs are so clever that the hadiths which are meant to be seen by the people, publish their translation in English or other languages….",Let us stay in.,"* * Not only this, the same hadith has different numbers in Arabic and other languages ​​in different numbers, so that the original hadith cannot be detected.",action
20,3621,"*  *In health care also, the minorities have an upper hand.",*  The Hindu community owns just ten hospitals against 928 belonging to the minorities (‘Matrubhumi’).,"Similarly, the   *Hindu share in the industry, agriculture and commerce is 28, 24 and 28 percent, respectively.",culture
21,3622,"As in Denmark, Germany, Britain, Spain and Thailand, where 2, 3.7, 2.7, 4 and 4.6 percent Muslims respectively.","* * When the population of Muslims in a country or region rises above 5 percent, then they According to their proportions, they increase the pressure on other religious people and try to establish their influence.",Starts shouting.,oppression
22,3623,The Muslim appeasement enthusiast got a good chance and the Indian government lifted the ban from this party.,"Maulana Qasim Rizvi, who was then the President of the MIM Party, was arrested in the proceedings of the Indian Army against Hyderabad.","After his release, he too settled down in his beloved country in Pakistan and went on to give the command of the party to Abdul Wahed Owaisi, the then famous lawyer and grandfather of today's president Asaduddin Owaisi.",none
23,3624,"Hearing this announcement of Raj, a man came and told the king that this is not a big deal and I can do it ...!","Saying this, the man took the goat and went to the forest and fed it grass all day, thus the man fed the goat with plenty of grass throughout the day and thought that today the goat has eaten a lot of grass all the day and its stomach is It must have been full, so now I take it to the king…!",Thinking that the man went to the king with the goat ...!,none
24,3625,God and Allah are not one.,"1) God is omnipresent, while Allah lives on the seventh sky.","2) God is omnipotent, he does not seek anyone's help in doing work, whereas Allah has to take help of angels and jinn.",culture
25,3626,,"The shrine of Muslims is not merely a place of worship, but a place to gather, discuss issues around the world, devise strategies and find ways to implement them, used in a big way against their enemies.",What do Hindus have ………?,none
26,3627,"First, we keep the unemployed, unemployed and rob them with poison and poison in the name of education and education in the name of ill treatment and then make us convert with the same money, in our 36 community and riot in the name of religion, We subsidize Muslims and Christians with our tax money.","And from Hindus take tax on Amarnath Yatra, the purpose of these politicians is to loot and rule the country by keeping us illiterate and unemployed, hence the advantages of these politicians Resist the constitution and law made for Contact Rajeev Bhai Dixit ji's thoughts on Sun (YouTube channel) and join our Ruler Subhash Chandra Bose, Ji's Azad Hind Fauj.","Jaihindewandegomatantra Your 🙏  🇳  🇮  Own 🇳  🇮  Swadeshi Movement Kari Bhai Nadi Valid Sumit, Mobile, 8199014086",culture
27,3628,"The Muslim League, the then All India Muslim League, is also the organization that waged the partition of the country on the basis of Hindu and Muslim.",The Muslim League was established in December 1906.,"After the formation of Pakistan, it became active as a Muslim League in Pakistan, in India it became the Indian Union Muslim League and then in East Pakistan (present Bangladesh) it became known as Awami League.",none
28,3629,"We have already seen the condition of New Zealand with a population of 8 million and Australia is also on the same path, this can be understood by the Senator Farser Anning who has run anti Muslim campaign against him for speaking harsh truth.","My assessment is that the world, especially white Christian society, has only the next two decades in which they will be able to prepare to fight Islam.","At one point, when this confrontation occurs, our future generations will know it as the Third World War at the end of the 21st century.",culture
29,3630,There are thousands of such incidents written above just four incidents.,----------------------- Well let's get to the point what is this all about ???,Why else happens ???,none
30,3631,I met the Chief Minister of East Bengal and urged him to take necessary steps to prevent the spread of riot.,On 20 February 1950 I reached Barisal.,Knowledgeable about the events here was astonishing.,none
31,3632,"* Example - * When a bad thing is told in an Islamic book, then Muslims are convinced that the translation is wrong, the word means something else.",We do not believe this fatwa or hadith or this verse is canceled (canceled) 🏻  👉  😡  etc.,* 2 -Katman كِتمان Kitaman --- * It means concealment Concealment Lying false accusation.,none
32,3633,* * If Pakistan has to be cancer free then the operation will have to be done.,"But before the operation of Pakistan, the people of India must free the country from the clutches.",India can never become strong until India is free from its cancer.,action
33,3634,"There is no terrorist, Mir Jafar, who lives around us, whom we nurture, but sorry friends, the politics and powers of the country are guilty for what is happening.","He would have known the pain of losing his son if he had suddenly killed a son, brother or father.","I know that we are all very sad since yesterday, but I am even more sad that people who support Afzal Kasab and Pak are alive in the country.",oppression
34,3635,The girl's family has filed a police complaint in this regard.,"On Thursday, a minority community sat 🚩  on a dharna in Rahim Yar Khan district, about 400 km from the capital Lahore.","* * According to the complaint lodged in the police, Tahir Tamri kidnapped the teenager last month with the help of his father and brother.",none
35,3636,"Colonel Purohit, Sadhvi Prajnasinga, Swami Aseemanand Who rotten them in jail for a long time?","Did the scandalous crime of arresting Diwali filled with false accusations of murder on Shankaracharya, the revered religious leader of Hindus, did not happen during his tenure?",Do not Hindus see their innocent faces while voting for Congress?,none
36,3637,"* All the graves belong to the Muslims who were killed while fighting with our ancestors, going to their graves and asking for a vow is it not an insult to the brave ancestors who had sacrificed their lives on the altar to protect their religion *?","* Have Ram, Krishna or 33 crore Goddesses of Hindus become powerless, who is required to go to the graves of Muslims to bang their head *?","* When Lord Shri Krishna is in the Gita, where you get success only by doing karma, then what will be achieved by praying in the tomb *?",none
37,3638,Even .... Every terrorist and terrorist organization .... Why call themselves Mujahideen or Jihadi ....,"And more .... Arif Jehadis like Majid ..... To spread terror ..... """" Allah's work """" Why does it tell ...","Not only that .... Rather, have you ever done this It has been noted that….",culture
38,3639,"This is 19-year-old Fully Empowered, Intellectual, Secular, Liberal Hindu girl, Khushi Parihar, whose parents sent her to Nagpur to study, but there she befriended peacemaker Ashraf Afsar Sheikh, a drug trafficker, Sheikh.","Son, a few days later she started living in his house with the same peacemaker Ashraf Sheikh, and then at the behest of peacekeeper Ashraf Sheikh, Khushi Parihar converted her religion to Islam and renamed it Zara Sheikh, then after 3 July Ko Khushi aka Zara Madam openly announced her religious conversion, her new name and her new love in front of the society on her Instagram social media account, after which exactly 10 days later, Khushi Parihar aka Zara Sheikh got her peacemaker Lover Ashraf got real ""peace loving love"" and ""secularism"" and Khushi Parihar aka Zara Sheikh was brutally murdered and brutally murdered by his conniving lover Ashraf Sheikh with a stone.","Kshaya Parihar aka Zara's decaying dead body was found on the side of the highway, unrecognizable, hence the face was severely bruised, the entire paw of one hand was also missing, there were many bruises on the body, from tattoos on chest and arm Identification of the dead bodies.",oppression
39,3640,This history is taught in Hindu-Muslim unity.,"Now read the truth, the history of our country has been written by secular historians.",The first Education Minister of India was Maulana Abdul Kalam.,culture
40,3641,"If you wish ... because, your future is ...",Jai Mahakaal...!!,"Rahul Gandhi's rally in Wayanad, Kerala, the rally saw more Islamic flags than the Congress flag.",none
41,3642,"After that through Mohammad Gauri, Taimur, Aivak, Balavan, Khilji etc., the destruction of this massacre continued till Aurangzeb and Tipu!",The infamous Mopala massacre took place in the modern era in which 5000 Hindus were killed.,Countless women were raped and abducted!,oppression
42,3643,"On January 19, 1990, most people left Kashmir.",About 4 lakh people were displaced.,"Muslims used to shout slogans from mosques that: Wake up, wake up in the morning, Russia has lost, Hindon has got stars, now it is the turn of Kashmir.",oppression
43,3644,"That this message should be forwarded as much as possible so that all Hindu brothers can be alert and if this sounds right to you, then the group who has sent the link below will give their vote back and join this message, which will be forwarded and Muslim 🚩  🚩  only.",Will 🚩  🚩  have a son.,Ajay Jai Shri Ram 4,none
44,3645,That same Boko Haram lifted 500 students from one school.,After which the family members of those girls joined hands with everyone for their return but no country has taken any drastic step till their return home.,* No human rights organization did anything for them.,none
45,3646,"I was overwhelmed by the terrible sufferings of Hindus, but still I continued the policy of cooperation ➡  with the Muslim League.",➡ I was inducted into the cabinet after the formation of Pakistan on 14 August 1947.,I spoke to Khwaja Nazimuddin and requested to include two backward castes in East Bengal's cabinet.,none
46,3647,The unbroken Hindu nation was kneeling before the Muslim League because of Gandhiji.,It was unbearable for Mother to split up in pieces in front of Beto.,We had become foreigners on our own soil.,oppression
47,3648,,"This is a very deep conspiracy, in the last 30-40 years, which has been promoted from time to time by Muslim whips of their own time, Hindus, you are also 100% responsible for this Islamization, these traitors' films in the country.",", Serials, ad films, autobiographies, etc.",culture
48,3649,Which doubt Momin has raised.,These are not new doubts.,"Abdul Gafoor, Sannaullah Amritsari, Maulvi Asmatullah Khan etc.",none
49,3650,This is the same terrorist Kugthan.,"Is whose 176 passengers of Indian Airlines Flight 814, commonly known as IC 814, were hijacked on 24 December 1999 to save Maulana Masood Muhammad Azhar.","* ""Kandahar Case"" * In March 2000, Maulana Masood Muhammad Azhar * "" Established ""Jaish-e-Muhammad"" by dividing Harkat-ul-Mujahideen ""*.",oppression
50,3651,"Its stories have been heard that from these name addresses they find single Hindu girls living alone, contacting them and trapping them in the web of love jihad.",And for this reason Jomato's delivery service is full of Muslim youth.,"They can identify people who live alone, or are weak… and can also make them victims of criminal activities.",none
51,3652,"""This 🕉 🕉 ⚜   ⛳   ⚜  ⛳  ⛳  is amazing secularism brother !!""","* * To join the Sanatan Dharmakshak Samiti and give your service, contact the following link.",* 👉🏻 https://api.whatsapp.com/send?,none
52,3653,"Seeing this condition of the children, tears started flowing from Mrs.G's eyes !!",.. We both in the past 20 years ago Are lost How were we abusing 'Swami Yeti Narasimhanand ji' in the college parking lot 20 years ago !!,The rioter who distributed them was calling them bad as terrorists !!,none
53,3654,Become an official witness.,Chidambaram and Digvijay are our friends.,"I will get you free It is that Sadhvi Didi, if you take three years out of the BJP who was in jail for nine years, then was in jail for six years during the Congress term.",none
54,3655,Part of a crushing mob that kills someone.,He would openly do it in front of the mosque.,I am not afraid to kill innocence.,oppression
55,3656,To kill him is to pity him.,The surest way to get a Jannat (where there are hurries and all other types of luxury material) is to kill non-believers.,The bloodshed caused by Islam is due to this belief.,action
56,3657,"Additionally, he referred Kashmiri Pandits as “mukhbir” or informers of the Indian government.",[17][18]  ISI's initial attempts to create unrest in Kashmir against the Indian government were unsuccessful until it started growing in late-1980s.,"[19] The Afghan jihad against the Soviets, the Islamic Revolution in Iran and the armed struggle of the Sikhs in Punjab against the Indian state became sources of inspiration for large numbers of Kashmiri Muslim youth.",oppression
57,3658,As long as the Book exists (as interpreted) there can’t be an everlasting peace in the world.,"Islam is permanently at daggers drawn war with love, happiness & peace.",,culture
58,3659,"🔺  Later stayed in a Dharamshala .. Not 🔺  only that, their stomachs grew 🔺  up begging too ... Center # When will 🔺  the government # protect Hindus in Hindustan known as Hindus?",FficOfficial Azaad Bharat Links: 👇🏻 🔺Blogger: http://azaadbharatofficial.blogspot.com 🔺Youtube: https://goo.gl/XU8FPk 🔺 Facebook: https://www.facebook.com/officialazaadbharat/ 🔺 Twitter: https://goo.gl/kfprSt 🔺 Instagram: https://goo.gl/JyyHmf 🔺Google +: https://goo.gl/Nqo5IX 🔺 Word Press: https://goo.gl/ayGpTG 🔺Pinterest: https : //goo.gl/o4z4BJ,,none
59,3660,"When Islam has won, all these Arabs will turn to India and the East.",The Muslim of India wants Gajwa-e-Hind.,"So that the Mughal Sultanate can return, now it is a matter of common sense that the Muslim of India will never stand with India.",none
60,3661,,"If you search on Google, you will find that most of the violent incidents in the world happen in the name of Islam.","This raises some questions here that demand quick answers- 01) How many Islamic countries have always condemned the Peshawar attack like the Gaza attack, the Paris Goli scandal and the massacre of Bokoharam?",culture
61,3662,The attack of Bakhtiar Khilji in the thirteenth century.,"Thousands of acharyas, teachers, disciples, men, women, children, set on fire in the midst of the noises of Nalanda and Vikramashila, the burning buildings, the slogans of Takbir and the celebration of Fatah.","Alauddin Khilji's attack on Chittor to get Queen Padmini in the fourteenth century, jihadist plans to see a married mother-like queen in her bed, mass worship of thousands of nobles, queens, princesses, and fellow women, aarti archana, Bhimakaya with complete adornment In the middle of the fort, the royal elephant gathering thousands of heartwoods, the group of girls watching those sticks around the yard, the last hug before each other before jumping into the fiery fire, Queen Padmini's wishing for the victory of religion in the fire pit Entrance, in a moment the fiery flame of a mother-like gentle queen and thousands of women in a burning fire that burns charcoal, the incomparable satisfaction of not having any jihadi die even after death, the joy of not letting honor die, coming The brave sons of the generation will surely take vengeance on their burning mothers, with the message that the high-fives and daughters who smoke in the rising fire.",none
62,3663,"He immediately left for Delhi from Lahore but bowed his head in front of 🚩  the Islamic sword sword in Agra, saw the Hindus ready to give up the religion of their ancestors in fear of death and they shouted cowardly Hindus and said - coward somewhere, death Don't you be ashamed to leave your beloved religion for fear of After listening to Brother Matidas, the Mathanda Muslims laughed and said to him, ""Who are you, who is not afraid of death?""",Brother Matiram said that if you really have strength then show me as a Muslim.,"Matidas ji was arrested and sent from Agra to Delhi for prosecution .. Then Hakim said - So 🚩  you have to lose your life, then Matidas said - I accept leaving my body rather than leaving religion. . Hakim then said that- think Matidas again.",action
63,3664,"In the eyes of the Congress, were the Hindus of India outsiders?","In order to put the blame of any riots on Hindus only, the UPA government had in 2011-12 set a conspiratorial proposal called Communal Violence Bill, Riot Control Act!","The special spies of Sonia Gandhi who brought this proposal included mostly those people who today are called ""Urban Naxalites""!",none
64,3665,"Yes yes, son will definitely go to the temple.",But in the heat of the summer !!,"Hearing this, the children left angry !!",none
65,3666,"If the Congress had sent Pakistan all the people who had demanded partition of the country on the basis of religion, today there would not have been a demand for another partition in fragmented India.",It is suspected that the creation of Pakistan was not Nehru's internal desire.,Pakistan's love for Congress has not reduced even a single day!,culture
66,3667,🔺  I have no doubt in this.,🔺  - Dr. Vivek Arya * 🚩Official Azaad 🔺  Bharat Links: 👇🏻 🔺Youtube: https://goo.gl/XU8FPk 🔺 facebook: https://www.facebook.com/officialazaadbharat/ 🔺 Twitter: https://goo.gl / kfprSt 🔺Blogger: http://azaadbharatofficial.blogspot.com 🔺 Instagram: https://goo.gl/JyyHmf 🔺Google +: https://goo.gl/Nqo5IX 🔺 Word Press: https://goo.gl/ ayGpTG 🔺Pinterest: https://goo.gl/o4z4BJ,,none
67,3668,"For those who have been mindwashed, only their hadith and their Qur'an matters, which, on the death of the Kafirs, shows them the path of Jannat and honors the title of Ghazi on the killing of the Kafirs.","Every book that incites them to this orgy of death has to be burnt and if the orgy of death is to be stopped, then this bloody game will have to be played by the Indian Army and the intelligence agencies, anti-terror agencies.",Now no angel will come to save.,none
68,3669,"Soon our Mujahideen The fighters will kill the white-bearded Gujarati (Modi), then the last leader of the Hindus will also get out of our way!","Therefore, it is the duty of every Muslim to prepare food for war.","For this, learn to make bombs in addition to weapons and 24 import of Quran.",action
69,3670,"Although girls from all over India have been caught in this Islamic Jihadi trap, but most came from Uttarakhand.",* 1 girl was the daughter of a Punjabi government officer in Delhi.,* And all the girls were from the Hindu Golden Society.,none
70,3671,"Come, let me introduce you today to the duplicity of Zomato Food Delivery Company, so that you also stop using zomato, and use Swiggy, Uber Eats etc.","Just a few days ago, a Muslim customer of Jomato refused to take Jomato's non-veg food, because of that Muslim customer gave it to Jomato that, this non-veg meal sent by Jomato, according to Islam * Not halal *, but a jerk, that's why I won't take it!","As the client said, the Hindu owner of the Jomato company, along with his entire company, got in front of that customer and many others like him, and started praying that we will take care of it from the beginning!",culture
71,3672,"In Bihar, 60 thousand AK-47s have arrived from China and Bangladesh.","Therefore, the flag on the Red Fort will swing quickly.","Arab  In the country, Hindu women should be made nurses, cooks, cooks and send more and more.",none
72,3673,"Today, Hindu society worships the killers of the same Hindus, the rapists of Hindu women, the idol Bhanjan demon.","Salar Ghazi has become the Ghazi Baba of the Hindus, Salar Ghazi has become a worshiper of the Hindu society by becoming the God of the Hindus.","Now, who worships Ghazi's tomb, what to say if such Hindus are not called fools.",none
73,3674,"8) - 1 Nathuram Godse killed Gandhi, then Congressmen murdered 60000 Marathi Brahmins and.",Only two Sikhs had shot Indira in return for the slaughter of 23000 Sikhs… they were burnt alive by putting burning tires on their neck and today these 8 terrorists used to say that the whole of Pakistan had not come… The leader of the slaughtering party shamelessly said Pakistan should not be punished for the mistake of 5-7 people.,"# How shameful was the counselor of Ein Lutero, when the government was there, what would be done by Ein Kanjaro.",oppression
74,3675,Mandal led the Dalits in the politics of eastern undivided India.,"For the first time in history, the Dalit-Muslim alliance was used by Jogendra Nath Mandal.","Unlike Dr. Ambedkar, he had unwavering faith in this new alliance.",none
